UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Bloomberg,@business,2022-07-31T14:53:04.000Z,"Nigerians accumulating cryptocurrencies to shield assets against a weakening naira have contributed to a slump in the fiat currency to a record low
bloomberg.com
Crypto Trades Drive Naira to New Low in Unauthorized Market
Nigerians accumulating cryptocurrencies to shield assets against a weakening naira have contributed to a slump in the fiat currency to a record low in the unauthorized market.
12
40
68Bloomberg
@business
·
2h
Nigerians accumulating cryptocurrencies to shield assets against a weakening naira have contributed to a slump in the fiat currency to a record low
bloomberg.com
Crypto Trades Drive Naira to New Low in Unauthorized Market
Nigerians accumulating cryptocurrencies to shield assets against a weakening naira have contributed to a slump in the fiat currency to a record low in the unauthorized market.
12
40
68",12,40,68
Bloomberg,@business,2022-07-31T14:48:03.000Z,"Rockstar Games reinvented itself after an employee backlash over its frat-boy culture. But the release of its Grand Theft Auto VI, with the first female protagonist, will put that reboot to the test
bloomberg.com
Rockstar Games Cleaned Up Its Frat-Boy Culture — and Grand Theft Auto, Too
With a new tone at the company and a change in creative direction, GTA VI will probably feel very different from its predecessor
11
17
39Bloomberg
@business
·
2h
Rockstar Games reinvented itself after an employee backlash over its frat-boy culture. But the release of its Grand Theft Auto VI, with the first female protagonist, will put that reboot to the test
bloomberg.com
Rockstar Games Cleaned Up Its Frat-Boy Culture — and Grand Theft Auto, Too
With a new tone at the company and a change in creative direction, GTA VI will probably feel very different from its predecessor
11
17
39",11,17,39
Bloomberg,@business,2022-07-31T14:46:18.000Z,"Home prices in Sydney declined for a sixth straight month in July, driving a fall in property values across Australia as rising interest rates hit demand
bloomberg.com
Sydney’s Home Prices Slide for Sixth Month With No Relief Seen
4
11
35Bloomberg
@business
·
2h
Home prices in Sydney declined for a sixth straight month in July, driving a fall in property values across Australia as rising interest rates hit demand
bloomberg.com
Sydney’s Home Prices Slide for Sixth Month With No Relief Seen
4
11
35",4,11,35
Bloomberg,@business,2022-07-31T14:45:10.000Z,"China’s deepening property bust is sending shock waves through the nation’s 400-million-strong middle class, upending the belief that real estate is a surefire way to build wealth
bloomberg.com
China’s Property Crisis Burns Middle Class Stuck With Huge Loans
China’s deepening property bust is sending shock waves through the nation’s 400-million-strong middle class, upending the belief that real estate is a surefire way to build wealth.
8
47
74Bloomberg
@business
·
2h
China’s deepening property bust is sending shock waves through the nation’s 400-million-strong middle class, upending the belief that real estate is a surefire way to build wealth
bloomberg.com
China’s Property Crisis Burns Middle Class Stuck With Huge Loans
China’s deepening property bust is sending shock waves through the nation’s 400-million-strong middle class, upending the belief that real estate is a surefire way to build wealth.
8
47
74",8,47,74
Bloomberg,@business,2022-07-31T14:45:10.000Z,"As global concerns mount about the threat of monkeypox, the UK offers a measure of hope that the crisis is controllable
bloomberg.com
What the UK is Getting Right in the Fight to Contain Monkeypox
As global concerns mount about the threat of monkeypox, the UK offers a measure of hope that the crisis is controllable.
13
7
16Bloomberg
@business
·
2h
As global concerns mount about the threat of monkeypox, the UK offers a measure of hope that the crisis is controllable
bloomberg.com
What the UK is Getting Right in the Fight to Contain Monkeypox
As global concerns mount about the threat of monkeypox, the UK offers a measure of hope that the crisis is controllable.
13
7
16",13,7,16
Bloomberg,@business,2022-07-31T11:04:05.000Z,"Privately-owned Octopus Energy is nearing a deal to acquire failed electricity supplier Bulb and has asked the government for a £1 billion funding package, Sky News reports
bloomberg.com
Octopus Seeks £1 Billion From UK Government to Buy Bulb: Sky
Privately-owned Octopus Energy Ltd. is nearing a deal to acquire failed electricity supplier Bulb Energy Ltd., and has asked the government for a £1 billion funding package, Sky News reported.
3
8
16Bloomberg
@business
·
6h
Privately-owned Octopus Energy is nearing a deal to acquire failed electricity supplier Bulb and has asked the government for a £1 billion funding package, Sky News reports
bloomberg.com
Octopus Seeks £1 Billion From UK Government to Buy Bulb: Sky
Privately-owned Octopus Energy Ltd. is nearing a deal to acquire failed electricity supplier Bulb Energy Ltd., and has asked the government for a £1 billion funding package, Sky News reported.
3
8
16",3,8,16
Bloomberg,@business,2022-07-31T11:03:05.000Z,"Infrastructure advisers are calling for a national hosepipe ban and compulsory water metering as the nation braces for drought
bloomberg.com
‘Manage Britain’s Water Now’ or Face Future of Emergency Bottled Supplies’
9
12
28Bloomberg
@business
·
6h
Infrastructure advisers are calling for a national hosepipe ban and compulsory water metering as the nation braces for drought
bloomberg.com
‘Manage Britain’s Water Now’ or Face Future of Emergency Bottled Supplies’
9
12
28",9,12,28
Bloomberg,@business,2022-07-31T11:03:05.000Z,"Liz Truss or Rishi Sunak will need to win over the voters Boris Johnson persuaded to flip to the Conservatives promising to level up the UK
bloomberg.com
A Failing Promise to Left-Behind Britain Awaits Next UK Prime Minister
Johnson’s pledge to close the UK’s wealth gap is stuck in reverse.
7
4
20Bloomberg
@business
·
6h
Liz Truss or Rishi Sunak will need to win over the voters Boris Johnson persuaded to flip to the Conservatives promising to level up the UK
bloomberg.com
A Failing Promise to Left-Behind Britain Awaits Next UK Prime Minister
Johnson’s pledge to close the UK’s wealth gap is stuck in reverse.
7
4
20",7,4,20
Bloomberg,@business,2022-07-31T11:03:04.000Z,"Heavy rain and thunderstorms will batter parts of the UK in the coming days amid a spell of tropical and muggy weather
bloomberg.com
Heavy Rain and Thunderstorms Set to Lash UK Amid Tropical Muggy Weather
5
6
18Bloomberg
@business
·
6h
Heavy rain and thunderstorms will batter parts of the UK in the coming days amid a spell of tropical and muggy weather
bloomberg.com
Heavy Rain and Thunderstorms Set to Lash UK Amid Tropical Muggy Weather
5
6
18",5,6,18
Bloomberg,@business,2022-07-31T10:56:30.000Z,"Saudi Arabia’s economy expanded 11.8% in the second quarter, maintaining the fastest pace of growth since 2011 buoyed by higher oil prices and production
bloomberg.com
Saudi Arabia Economy Grows at Fastest Pace Since 2011 on Oil
11
39
93Bloomberg
@business
·
6h
Saudi Arabia’s economy expanded 11.8% in the second quarter, maintaining the fastest pace of growth since 2011 buoyed by higher oil prices and production
bloomberg.com
Saudi Arabia Economy Grows at Fastest Pace Since 2011 on Oil
11
39
93",11,39,93
